source_row,frequency_rank,complexity,word,romanized,pos_ko,classification,hanja_ref,english,note,word_group_size,word_group_index,review_flags
3234,3649.0,B,요새,yosae,명,noun,,"recently,lately",,1,1,
3235,3650.0,C,이상적,isangjeok,명,noun,理想的,Abnormal,,1,1,
3236,3652.0,C,일쑤,ilssu,명,noun,,Habitual practice,,1,1,
3237,3653.0,C,일체,ilche,명,noun,一切,"All, everything,the whole",,1,1,
3238,3654.0,B,자꾸만,jakkuman,부,adverb,,Repeatedly (emphasized),,1,1,
3239,3655.0,C,잦다,jajda,형,adjective,왕래가~,"Be frequent, incessant",,1,1,
3240,3656.0,C,절망,jeolmang,명,noun,絶望,"despair,hopelessness",,1,1,
3241,3657.0,C,접다,jeopda,동,verb,,Fold up,,1,1,
3242,3659.0,C,제시되다,jesidoeda,동,verb,提示-,To be presented,,1,1,
3243,3660.0,C,주방,jubang,명,noun,廚房,"A kitchen, a cookroom",,1,1,
3244,3662.0,C,진출하다,jinchulhada,동,verb,進出-,"Penetrate into, advance",,1,1,
3245,3663.0,B,짜증,jjajeung,명,noun,,Annoyance,,1,1,
3246,3664.0,B,첫날,cheosnal,명,noun,,The first day,,1,1,
3247,3666.0,C,통과하다,tonggwahada,동,verb,通過-,Passage through,,1,1,
3248,3667.0,C,투명하다,tumyeonghada,형,adjective,透明-,"To be transparent, clear",,1,1,
3249,3671.0,C,확산되다,hwaksandoeda,동,verb,擴散-,To get diffused,,1,1,
3250,3672.0,C,경력,gyeongryeok,명,noun,經歷,one’s personal history,,1,1,
3251,3674.0,C,고통스럽다,gotongseureopda,형,adjective,苦痛-,Be painful or torment,,1,1,
3252,3675.0,C,곤란하다,gonranhada,형,adjective,困難-,Difficulty or trouble,,1,1,
3253,3676.0,C,공중,gongjung,명,noun,空中,The air or the sky,,1,1,
3254,3677.0,C,공해,gonghae,명,noun,公害,Environmental pollution,,1,1,
3255,3679.0,C,귀찮다,gwichanhda,형,adjective,,Annoying irksome,,1,1,
3256,3680.0,C,기대다,gidaeda,동,verb,의지하다,1) To rely upon or lean upon 2) lean against,,1,1,
3257,3681.0,C,깨어나다,kkaeeonada,동,verb,,Return to consciousness,,1,1,
3258,3682.0,C,꼽히다,kkophida,동,verb,,To be elected,,1,1,
3259,3683.0,C,대다수,daedasu,명,noun,大多數,A large majority,,1,1,
3260,3685.0,C,듯싶다,deussipda,보,auxiliary verb,,"To be like something, i guess",,1,1,
3261,3686.0,C,먹이,meogi,명,noun,,Food,,1,1,
3262,3687.0,B,무,mu,명,noun,식물,"Radish, daikon",,2,1,surface_duplicate
3263,3688.0,C,무료,muryo,명,noun,無料,"Free, without charge",,1,1,
3264,3689.0,B,밉다,mipda,형,adjective,,Be detestable,,1,1,
3265,3690.0,C,발레,balle,명,noun,&프ballet,Ballet,,1,1,
3266,3693.0,C,상징하다,sangjinghada,동,verb,象徵-,Symbolize,,1,1,
3267,3694.0,C,실현하다,silhyeonhada,동,verb,實現-,"To realize,bring to fruition",,1,1,
3268,3695.0,C,아깝다,akkapda,형,adjective,,"regrettable,pitiful",,1,1,
3269,3696.0,C,안정되다,anjeongdoeda,동,verb,安定-,To be stable,,1,1,
3270,3698.0,C,어리석다,eoriseokda,형,adjective,,"juvenile,foolish",,1,1,
3271,3699.0,C,엎드리다,eopdeurida,동,verb,,"Prostrate oneself, lie on the ground",,1,1,
3272,3700.0,C,여럿,yeoreos,명,noun,,"many,many people",,1,1,
3273,3702.0,C,연설,yeonseol,명,noun,演說,A public speech,,1,1,
3274,3703.0,A,연필,yeonpil,명,noun,鉛筆,Pencil,,1,1,
3275,3704.0,C,염려,yeomryeo,명,noun,念慮,"anxiety,worry",,1,1,
3276,3706.0,C,우습다,useupda,형,adjective,,"To be funny, amusing",,1,1,
3277,3707.0,A,운전,unjeon,명,noun,運轉,Driving,,1,1,
3278,3708.0,B,익숙하다,iksukhada,형,adjective,,To become accustomed to,,1,1,
3279,3709.0,C,일자,ilja,명,noun,日子,"A date, the number of days",,1,1,
